"model_id","location","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"Amanda-ARIMA","US",3295.4704859335,4154.70588235294,0.637254901960784,0.862745098039216,102
"Amanda-XGBoost","US",2155.13837595908,3294,0.352941176470588,0.872549019607843,102
"DKCDC-XGBoost","US",2666.03995608256,2893.69696969697,0.272727272727273,0.515151515151515,99
"Gihani-XGBoost","US",3593.38572244181,3651.32323232323,0.0404040404040404,0.232323232323232,99
"Huan-ARIMA","US",2876.2192114237,3588.63725490196,0.823529411764706,0.882352941176471,102
"Huan-ARIMAWW","US",3571.14363171355,4635.85294117647,0.490196078431373,0.803921568627451,102
"Huan-XGBoost","US",2017.40644927536,3089.61764705882,0.323529411764706,0.950980392156863,102
"Huan-XGBoostWW","US",1709.38410912191,2579.02941176471,0.411764705882353,0.96078431372549,102
"OMI-ARIMA","US",3295.4704859335,4154.70588235294,0.637254901960784,0.862745098039216,102
"Yiwen-ARIMA","US",3295.47709447866,4154.70530209071,0.637254901960784,0.862745098039216,102
"cc-XGBHybrid","US",2054.09033248082,3126.1862745098,0.490196078431373,0.901960784313726,102
"sukhyun-XGBoost","US",3295.4704859335,4154.70588235294,0.637254901960784,0.862745098039216,102
